CCESS1-0	1480.7965353261
ACCESS1-3	1483.3041779891
bcc-csm1-1	1486.4317255435
bcc-csm1-1-m	1492.1885190217
BNU-ESM	1477.2741168478
CanESM2	1488.9825067935
CCSM4	1487.2753057065
CESM1-BGC	1487.59375
CESM1-CAM5	1476.5140964674
CMCC-CESM	1495.793138587
CMCC-CM	1497.2197690217
CMCC-CMS	1497.46875
CNRM-CM5	1484.5377038043
CSIRO-Mk3-6-0	1490.023267663
FGOALS-g2	1493.2856657609
FIO-ESM	1494.6645720109
GFDL-CM3	1480.6530230978
GFDL-ESM2G	1472.453125
GFDL-ESM2M	1473.3979279891
HadGEM2-ES	1476.8074048913
inmcm4	1477.2581521739
IPSL-CM5A-LR	1461.9588994565
IPSL-CM5A-MR	1470.4583899457
IPSL-CM5B-LR	1470.0071331522
MIROC5	1474.8172554348
MIROC-ESM	1485.6925951087
MIROC-ESM-CHEM	1482.0771059783
MPI-ESM-LR	1486.0166440217
MPI-ESM-MR	1488.4458220109
MRI-CGCM3	1502.5044157609
NorESM1-M	1470.4111752717
NorESM1-ME	1466.9932065217
